ID,lemma,pos,frequency
889,quieres,VERB,2976
890,simple,ADJ,2975
891,fbi,PROPN,2975
892,ayer,ADV,2961
893,continuar,VERB,2961
894,suyo,DET,2960
895,gracioso,ADJ,2959
896,rey,NOUN,2956
897,animal,NOUN,2955
898,abierto,ADJ,2950
899,tienes,PROPN,2949
900,motivo,NOUN,2946
901,principio,NOUN,2946
902,haber él,VERB,2942
903,frank,PROPN,2940
904,nota,NOUN,2938
905,sentado,ADJ,2937
906,cenar,VERB,2935
907,tren,NOUN,2932
908,terrible,ADJ,2924
909,abandonar,VERB,2918
910,ayudar él,VERB,2916
911,honor,NOUN,2905
912,cã³mo,ADV,2905
913,tu,NOUN,2904
914,además,ADV,2902
915,discutir,VERB,2895
916,imaginar,VERB,2894
917,cuestión,NOUN,2894
918,debería,NOUN,2892
919,bala,NOUN,2891
920,esposo,NOUN,2890
921,in,ADP,2880
922,estados,PROPN,2879
923,operación,NOUN,2874
924,broma,NOUN,2873
925,necesita,NOUN,2869
926,registro,NOUN,2862
927,experiencia,NOUN,2862
928,entrada,NOUN,2862
929,capitán,PROPN,2859
930,imposible,ADJ,2858
931,ves,VERB,2848
932,charlie,PROPN,2845
933,precio,NOUN,2839
934,color,NOUN,2834
935,opción,NOUN,2826
936,preparado,ADJ,2823
937,maravilloso,ADJ,2820
938,ventana,NOUN,2820
939,posición,NOUN,2809
940,contigo,PROPN,2808
941,cantar,VERB,2804
942,ven,PROPN,2799
943,viajar,VERB,2795
944,quiero,PROPN,2794
945,deberiar,VERB,2792
946,compartir,VERB,2786
947,joe,PROPN,2786
948,resultado,NOUN,2785
949,basura,NOUN,2781
950,apenas,ADV,2780
951,mal,ADJ,2780
952,arruinar,VERB,2769
953,unidad,NOUN,2768
954,objetivo,NOUN,2768
955,horrible,ADJ,2768
956,banco,NOUN,2767
957,carajo,NOUN,2767
958,igual,ADV,2763
959,ciento,NUM,2758
960,empresa,NOUN,2757
961,director,NOUN,2756
962,acción,NOUN,2756
963,boda,NOUN,2750
964,profesor,NOUN,2744
965,permiso,NOUN,2744
966,tom,PROPN,2744
967,pistola,NOUN,2737
968,cruzar,VERB,2731
969,causa,NOUN,2730
970,intento,NOUN,2730
971,io,ADV,2721
972,nada,NOUN,2720
973,huir,VERB,2715
974,cansado,ADJ,2715
975,utilizar,VERB,2713
976,puto,NOUN,2712
977,ejército,NOUN,2710
978,imagen,NOUN,2706
979,100,NUM,2702
980,george,PROPN,2699
981,bastar,VERB,2696
982,james,PROPN,2696
983,suelo,NOUN,2686
984,gana,NOUN,2683
985,maldita,NOUN,2683
986,tuyo,PRON,2677
987,trasero,NOUN,2677
988,mike,PROPN,2677
989,energía,NOUN,2676
990,dato,NOUN,2667
991,haga,NOUN,2667
992,serã,PROPN,2666
993,gracias,INTJ,2666
994,planear,VERB,2659
995,hallar,VERB,2656
996,opinión,NOUN,2655
997,bailar,VERB,2651
998,banda,NOUN,2651
999,bajo,ADJ,2650
1000,ia,PROPN,2648
1001,diferencia,NOUN,2642
1002,quã,PROPN,2642
1003,cárcel,NOUN,2640
1004,is,PROPN,2640
1005,creser,VERB,2638
1006,david,PROPN,2637
1007,presidente,PROPN,2636
1008,locura,NOUN,2636
1009,enemigo,NOUN,2635
1010,vengar,VERB,2635
1011,planeta,NOUN,2632
1012,cerveza,NOUN,2629
1013,conoz,NOUN,2626
1014,tonto,NOUN,2626
1015,dame,PROPN,2625
1016,habla,NOUN,2621
1017,carne,NOUN,2620
1018,peter,PROPN,2620
1019,perdido,ADJ,2620
1020,habã­ar,VERB,2616
1021,principal,ADJ,2613
1022,esconder,VERB,2612
1023,mencionar,VERB,2605
1024,directo,ADJ,2602
1025,ir él,VERB,2601
1026,llorar,VERB,2599
1027,pegar,VERB,2598
1028,riesgo,NOUN,2596
1029,demostrar,VERB,2595
1030,casado,ADJ,2594
1031,valor,NOUN,2589
1032,ser,VERB,2578
1033,pertenecer,VERB,2578
1034,ocupar,VERB,2576
1035,completo,ADJ,2575
1036,cuidado,NOUN,2575
1037,equivocado,ADJ,2569
1038,fuera,NOUN,2568
1039,depender,VERB,2565
1040,estudio,NOUN,2565
1041,órden,NOUN,2565
1042,tenã­ar,VERB,2558
1043,gritar,VERB,2555
1044,huella,NOUN,2548
1045,asesino,ADJ,2546
1046,libertad,NOUN,2541
1047,rey,PROPN,2538
1048,â¿quiã,ADV,2535
1049,doler,VERB,2533
